Symbol,Date,Open,High,Low,Close,Percent Change,Volume
AKPL,22/12/2020,257,269,250,261,0.04,99816
AKPL,21/12/2020,242,255,240,252,0.02,101016
AKPL,20/12/2020,258,258,246,248,-0.05,155103
AKPL,17/12/2020,255,264,255,260,0,83752
AKPL,16/12/2020,262,267,259,260,-0.02,93758
AKPL,15/12/2020,261,275,261,265,0,78197
AKPL,14/12/2020,283,283,265,265,-0.02,71284
AKPL,13/12/2020,276,276,270,270,-0.03,43275
AKPL,10/12/2020,273,284,272,278,0.01,155283
AKPL,9/12/2020,273,289,273,276,0.01,826604
AKPL,8/12/2020,261,278,259,273,0.03,275890
AKPL,7/12/2020,258,266,255,264,0.02,94733
AKPL,6/12/2020,285,285,258,258,-0.05,86437
AKPL,3/12/2020,275,280,267,272,0,352726
AKPL,2/12/2020,274,279,266,273,0,132729
AKPL,1/12/2020,285,285,268,274,-0.01,170780
AKPL,30/11/2020,265,280,262,278,0.06,239766
AKPL,29/11/2020,265,265,252,262,0.03,171088
AKPL,26/11/2020,275,277,267,269,0,258529
AKPL,25/11/2020,268,274,265,273,0.02,102066
AKPL,24/11/2020,271,273,266,268,0,157546
AKPL,23/11/2020,269,274,266,268,-0.02,146121
AKPL,22/11/2020,273,281,268,273,0,151938
AKPL,19/11/2020,275,278,265,273,0,356350
